x, y, min
1,7,42
1,7,28
1,6,80
1,4.5,80
1,4.5,2
1,3.5,42
1,3.5,42
1,3.5,5
2,2,75
2,2,75
2.5,5.5,12
2.5,5.5,7
2.5,5.5,2
2.5,5.5,2
2.5,5.5,10
3,0.5,5
3,0.5,4
3,0.5,4
3,0.5,4
4.5,5.5,28
4.5,4.5,20
4.5,4.5,20
4.5,4.5,2
4.5,2.5,25
4.5,2.5,25
4.5,2.5,25
4.5,2.5,15
4.5,2.5,15
5.5,3.5,6
5.5,3.5,1
5.5,3.5,1
7,6,14
7,4.5,35
7,4.5,35
7,4.5,40
7,4.5,40
7,2.5,30
7,2.5,30
7,2.5,13
7,2.5,13
7,2.5,13
7,2.5,25
7,2.5,25
7,2.5,25
7,1.5,80
7.5,4,4
8.5,1.5,25
10.5,5,20
10.5,5,20
10.5,4.5,60
11,1.5,50
11.5,3.5,10
